Başlık;İçerik;Kelimeler;Betwenness;
B-GÜNDEM;Şehircilik İnovasyon Merkezi, Çevre ve Şehircilik Bakanlığı istiyor;şehircilik,çevre,şehircilik,bakanlık,;0
B-GÜNDEM;Şehircilik Şurası çalışmaları;şehircilik,çalışma,;0
B-GÜNDEM;Tokyo-Seul teknik gezileri;;0
B-GÜNDEM;Yeşil kuşak ve yönetimi;yeşil kuşak,yönetim,;0
B-İZMİR;20.yy ile beraber “İzmir netwok’ünü kaybeden şehir”.;şehir,;0
B-İZMİR;Akıllı Şehir konusu ve mevcut platformun devamı İzmir için önemlidir. Bu konuda yol alınabilseydi ödül başvurusu olabilirdi.;akıllı şehir,konu,mevcut,platform,devam,önem,konu,yol,ödül,başvuru,;0
B-İZMİR;İzmir Green Growth başkenti olabilir. Bunun için yeşil teknolojiler, yeşil işler, iklim değişikliği planı vs isteniyor.;başkent,yeşil,teknoloji,yeşil,iklim değişikliği,plan,;0
B-İZMİR;İzmir ilkleri yapmalı öncü şehir olmalı;ilk,öncü,şehir,;0
B-İZMİR;Sektörleri birleştirmeliyiz, tarımı ilgili diğer sektörlerden ayrı düşünemeyiz;sektör,birleştirme,tarım,sektör,;0
B-İZMİR;Seul ve Tokyo’daki örneklere göre İzmir bir mega-region değil.;;0
B-İZMİR;Yenilik konusu, yenilik fonunun hayata geçirilmesi. Yeniliğin altının doldurulması, açık yeniliğe geçiş için mevcut yapının lab’lar stratejisiyle desteklenmesi. Şehirde farklı alanlarda farklı fablab veya livinglab’lar olmalı. Büyük merkezler yeni küçük, kente dağılmış ama kullanım çeşitliliği için de odaklanmış lablar;yenilik,konu,yenilik,hayat,geçirilme,yenilik,alt,doldurulma,açık,yenilik,geçiş,mevcut,strateji,desteklenme,şehir,alan,kent,kullanım,çeşitlilik,;0
B-İZMİR;Yeşil Büyüme-Green Growth (doğa esaslı çözümler, örn. Yeşil altyapı) İzmir gündeminde olmalı.;yeşil,büyüme,doğa,çözüm,yeşil,altyapı,gündem,;0
B-AJANS;Ajans misyonu iki dünyayı birleştirme;ajans,misyon,dünya,birleştirme,;0
B-AJANS;Ajansın birleştirici role sahip olması be konuları o şekilde ele alması;ajans,birleştirici,röle,sahip,şekil,;0
B-AJANS;Akıllı şehir platformunun canlandırılması,;akıllı şehir,platform,canlandırılma,;0
B-AJANS;Ar-Ge fonksiyonu için Ajans uygun;fonksiyon,ajans,;0
B-AJANS;Çalışmalarda entegrasyon yaklaşımı gerekir: sektörlerin entegrasyonu, ulaşımın entegrasyonu…;çalışma,entegrasyon,yaklaşım,sektör,entegrasyon,ulaşım,entegrasyon,;0
B-AJANS;İZKA lider olmalı ama liderlik sonrasında yoluna koyup işi paydaşlara bırakmalı;lider,liderlik,yol,iş,paydaş,bırakma,;0
B-AJANS;Labların mekânsal ve sektörel ekosistemin parçası olarak çalışılması;mekan,sektör,ekosistem,parça,çalışılma,;0
B-AJANS;Yenilik fonunun hayata geçirilmesi,;yenilik,fon,hayat,geçirilme,;0
B-ÖRNEKLER;Hollanda örneği: tarımın diğer sektörlerle entegrasyonu (sağlık, ticaret, bakım vs);örnek,tarım,sektör,entegrasyon,sağlık,ticaret,bakım,;0
B-ÖRNEKLER;Seul ve Tokyo örnekleri;;0
B-ÖRNEKLER;Seul yeni kent uygulaması: akıllı kent olarak, iş ve yaşam entegrasyonu;kent,uygulama,akıllı kent,iş,yaşam,entegrasyon,;0
B-ÖRNEKLER;Tokyo Grand Design 2040 belgesi: 20 alan belirlenmiş bunlara yönelik aksiyonlar var;belge,alan,aksiyon,;0
B-ÖRNEKLER;Tokyo kamu-özel işbirliği ile yapılan raylı sistemler ve ulaşım aktarma merkezleri (hub);kamu,özel,iş birliği,raylı sistem,ulaşım aktarma,merkez,;0
C-İZMİR;Akdeniz’de Barselona’dan sonra gelen bir yıldız olabilir.;akdeniz,yıldız,;0
C-İZMİR;Buraya yatırıma hazır ve gönüllü kişiler vardır, bunların Ar-Ge yatırımları etkisiyle İzmir’in Türkiye’nin inovasyon ve tasarım kenti olması;yatırım,gönüllü,kişi,yatırım,etki,tasarım,kent,;0
C-İZMİR;İzmir büyük ölçekli ve uygun maliyetli yer sunamadığından yabancı sermaye büyük yatırım yapamamaktadır;ölçekli,,maliyet,yer,sunma,yabancı,sermaye,yatırım,;0
C-İZMİR;Ulaşım için Çiğli’deki askeri havalimanının sivil amaçlı kullanımı, askeri fonksiyonların Gaziemir’e kaydırılması gerekir.;ulaşım,havaliman,sivil,kullanım,askeri,fonksiyon,kaydırılma,;0
C-İZMİR;Yönetişim anlamında İzmir’in sorunu hükümet, belediye ve stklar (borsa, san.odası, tic.odası) arasında eşgüdüm sorunu.;yönetişim,anlama,sorun,hükümet,belediye,borsa,sorun,;0
C-AJANS;Ajans yabancı için temel birim olursa bunun bir değeri var. İzmir’de tek durak olmak önemli ama bunun için diğer kurumlardan iyi personel gelmesi, onların çalışma saati, maaş, dil vs. uyumunu en baştan sağlamak gerekmektedir.;ajans,temel,birim,olur,değer,tek,durak,kurum,personel,gelme,çalışma saati,maaş,dil,uyum,sağlama,gerekme,;0
C-AJANS;Bu bakış açısı ile sanki bu kentin bir planı yokmuş gibi 2040 için gerçekçi bir plan yapılmalı. Uygulanması sonraki mesele.;bakış açısı,kent,plan,yok,plan,yapılma,uygulanma,mesele,;0
C-AJANS;Enerjide rüzgar ve jeotermal İzmir için önemlidir. Güneş potansiyeli açısından  başka yerler (Muğla ötesi) daha uygun.;enerji,rüzgar,önem,güneş,potansiyel,açı,yer,öte,;0
C-AJANS;Güdümlü proje desteği değerli ama bunu da projeyi İzmir’in ihtiyacına göre Ajansın geliştirmesi aktörlerin gündemine getirmesi şeklinde uygulamak gerekir.;proje,destek,proje,ihtiyaç,ajans,geliştirme,aktör,gündem,getirme,uygulama,;0
C-AJANS;Kalkınma Kurulunun doğru çalışması ve kullanılması gerekir. Planlama süreçlerinde kalkınma kurulu ile doğrudan çalışılmalıdır (sadece sonuç ürünün gösterilmesi değil). İhtisas komisyonları da olabilir.;kalkınma,doğru,çalışma,kullanılma,planlama,süreç,kalkınma,çalışılma,sonuç,ürün,gösterilme,ihtisas,komisyon,;0
C-AJANS;Planlama işlevi Ajansın en temel sorumluluğu (DPT İzmir). Plan yapmak ve bunu izlemek, gerektiğinde ince ayar yapmak. ;planlama,işlev,ajans,temel,sorumluluk,plan,izleme,gerek,ayar,;0
C-AJANS;Süreçlerde katılım gözetilmeli ama 2300 kişiyi kattık demenin çok bir değeri yok. Onun yerine 20-30 akil insandan gerçek fayda almak gerekir.;süreç,katılım,gözetilme,kişi,deme,değer,yok,insan,gerçek,fayda,;0
C-AJANS;Vali, Belediye Başkanı ve STK başkanları (EBSO, İZTO, Borsa, İESOB) arasında eşgüdüm ve yönetişimi sağlamak;vali,belediye başkanı,başkan,borsa,yönetişim,sağlama,;0
C-ÖRNEKLER;Kuşadası’nda Sydney Russied diye biri yaşıyor. Kanada Vancouver’ın plancısı, onunla görüşmek iyi olur.;plancı,görüşme,olur,;0
D-GÜNDEM;10 yılda hedef dünyada ilk 200 arasına girmek. Bunun için lisansüstü programlara ağırlık vermek, sosyal bölümler açmamak, uluslararası seviyede öğretim üyesi almak, ;yıl,hedef,ilk,girme,lisans,ağırlık,verme,sosyal,bölüm,seviye,öğretim üyesi,;0
D-GÜNDEM;Girişimcilerin desteklenmesi, startupların orta seviye şirketler haline getirilmesi.;girişimci,desteklenme,orta,seviye,şirket,getirilme,;0
D-İZMİR;Gıda sektörü de kritik, katma değeri yüksek gıda proseslerinin geliştirilmesi gerekir. ;gıda,sektör,kritik,katma,değer,yüksek,gıda,proses,geliştirilme,;0
D-İZMİR;İzmir Urla civarına nitelikli göç alıyor (üst yöneticiler, büyükelçiler) bu insan kaynağını kullanmak gerekir. ;civar,göç,üst,yönetici,büyükelçi,insan,kaynak,kullanma,;0
D-İZMİR;İzmir-Manisa ilişkisinde İzmir lehine bazı önlemler alınmalı;ilişki,leh,önlem,alınma,;0
D-İZMİR;Kullanılmayan bir tuırizm potansiyeli var, turistlerle anlaşmada İngilizce sorunu önemli.;kullanılma,potansiyel,turist,anlaşma,ingilizce,sorun,;0
D-İZMİR;Nitelikli insanları içine alan bir open university kuırulabilir mi?;nitelik,insan,alan,;0
D-İZMİR;Petrokimya sanayi kuruluşları geliştirilmeli, bunun için büyük firmaların ithal ettiği ürünlerin belirlenmesi ve buralardaki daha küçük firmalarca üretimin teşviki gerekir (örn. Plastik türleri, yeni kimyasal katalizörler gibi);petrokimya,sanayi,kuruluş,geliştirilme,firma,ithal,ürün,belirlenme,bura,firma,üretim,teşvik,plastik,tür,kimyasal,katalizör,;0
D-İZMİR;Üniversiteler platformu şu anda aktif değil tekrar canlandırmak gerekiyor.;üniversite,platform,an,aktif,tekrar,canlandırma,;0
D-AJANS;Hackandbreak, inovasyon merkezi uygulamaları çok faydalı ancak bunlardan kısa vadeli çıktılardan çok uzun vadeli çıktılar beklenmeli.;uygulama,kısa,vade,çıktı,uzun,vade,çıktı,beklenme,;0
D-AJANS;Projelerimn hayta geçirilmesi güzel ama sonrasında balarıya ulaşması zopr oluyor. Bunun için izlemeyi yabancı uzmanlara yaptırmak.;proje,geçirilme,ulaşma,izleme,yabancı,uzman,yaptırma,;0
D-AJANS;Tübitak destekleri ile gelen başvuruda firma olması zorunluluğu gibi, desteklerin multi etkişler yaratcağı önlemler alınması. Yaygın etkisi olan destekler uygulanması.;tübitak,destek,başvuru,firma,zorunluluk,destek,önlem,alınma,etki,uygulanma,;0
D-ÖRNEKLER;Almanya Bavyera Open University kavramı. Örgün eğitim içinde öğrenci %10 OU dersi alabiliyor. ;kavram,örgün eğitim,öğrenci,ders,;0
D-ÖRNEKLER;Smart university, kişisel eğitim.;kişi,eğitim,;0
E-İZMİR;Eğitim de önemli, eğitim konusunda yol almak için büyük uluslararası kuruluşlarla (Harvard vb.) işbirlikleri gerekir. ;eğitim,önem,eğitim,konu,yol,kuruluş,;0
E-İZMİR;İzmir’i haritaya koyacak büyük bir eseri de İzmir’e koymalı. ;harita,koyacak,eser,koyma,;0
E-AJANS;Eğitim şehri olması için Harvard ile Avrupa eğitim sektörü ile işbirlikleri geliştirilmeli. Eğitimcilerin eğitimi şart çünkü sistem ezberci birey oluşturuyor. ;eğitim,şehir,eğitim,sektör,geliştirilme,eğitimci,eğitim,şart,sistem,ezberci,birey oluş,;0
E-AJANS;İzmir’in kalkınma programının merkezine büyük radikal bir eser koyulmalı. Arkeoloji müzesi çok uygun ama halihazırdaki Tekel binaları vs gibi değil, gerçekten büyük, mimarisiyle özgün bir eser. Küçük küçük pek çok yatırım yerine büyük bir yatırım. Gugenheim Museum veya Gateway Arch gibi yapılar. Bunların projesinin dünyanın en radikal mimarlarına yaptırılması gerekiyor. Sonrasında Türk mimarlar yürütebilir.;kalkınma,program,eser,koyulma,arkeoloji,müze,halihazırda,tekel,bina,eser,yatırım,yatırım,proje,dünya,mimar,yaptırılma,mimar,;0
E-AJANS;Kalkınma Kurulu yerel konularda daha çok söz sahibi olmalı. Bunun için KK onayı almadan yerel konularda Belediye ve Hükümet çalışma yapmasa, YK da KK’ya tabi olsa.;kalkınma,söz sahibi,onay,belediye,hüküm,çalışma,;0
E-ÖRNEKLER;George Damon ;;0
E-ÖRNEKLER;Gugenheim Museum veya Gateway Arch;;0
F-İZMİR;Genç yazılımcılar ABD’de kazandıkları para ile Mistral’den ofis aldılar, İzmir’in geleceği bu tip sektörlerde.;yazılım,genç,kazan,para,ofis,gelecek,tip,sektör,;0
F-AJANS;Çandarlı limanı için çizilen vizyon olabilir ama demiryolu altyapısı gerekir, sanayi ile limanın desteklenmesi gerekir. Lojistik önceden tamamen karayolu olarak algılanıyordu. 50-60 km ötesindeki mesafeler için karayolu uygun değil, demiryolu veya denizyolu kullanmak gerekir. Karayolunun çok dezavantajı var (petrol bağımlılığı, altyapı yıpranmaları, kazalar vs.). ;liman,vizyon,demir,altyapı,sanayi,liman,desteklenme,lojistik,kara,km,öte,mesafe,kara,demir,deniz,kullanma,kara,dezavantaj,petrol,bağımlılık,altyapı,yıpranma,kaza,;0
F-AJANS;Çandarlı transit liman olursa da uygun değil çünkü sadece transit taşımacılık bir limanı karşılamaz. Lokal yük liman gelirlerinde daha ağırlıklıdır. Sadece aktarma olursa liman yeterli ilgiyi görmez. Zaten Çandarlı ihalesi de gereken ilgiyi görmedi. Lokal ve aktarımı dengede tutmak gerekir. ;transit,liman,olur,transit,taşımacılık,liman,lokal,yük,liman,gelir,ağırlık,aktarma,olur,liman,ilgi,ihale,gerek,ilgi,görme,lokal,aktarım,denge,tutma,;0
F-AJANS;Her liman hinterlandı ile değerlendirilmelidir. İzmir limanınında demiryolu bağlantısı var, bu çok önemli. Ancak tarama işi yapılmazsa git gide daha az gemi gelebilecek ve bu da liman dışı faaliyetleri daraltacak.;liman,hinterlant,değerlendirilme,liman,demir,bağlantı,tarama,iş,gemi,liman,dış,faaliyet,;0
F-AJANS;İzmir limanını canlı kılan etrafındaki sanayi ve kısa sürede ulaşılabilmesi. Çandarlı’da ise sanayi yok, demiryolu bağlantısı yok ve karayolu bile tartışmalı. Ama yeni limana ihtiyaç duyulacağı kesin, firmalar artıyor, ticaret artıyor.;liman,canlı,etraf,sanayi,kısa,süre,sanayi,yok,demir,bağlantı,yok,kara,liman,ihtiyaç,firma,ticaret,;0
F-AJANS;Kemalpaşa Lojistik Köy için kritik olan şey limanın aktif olması. Liman alüvyondan dolayı yeterince çalışamazsa lojistik köy de sıkıntıya girer.;lojistik,köy,kritik,liman,aktif,liman,alüvyon,lojistik,köy,sıkıntı,;0
F-AJANS;Körfez geçişinde büyük gemiler için yer bırakacaklardır, körfezin su sirkülasyonunu kesmemek önemli. Gemiler 15-16 m açıklıktan geçebiliyor. ;körfez,geçiş,gemi,yer,körfez,su,sirkülasyon,gemi,açıklık,;0
F-AJANS;Körfezde bekleme sorunu var, bunun nedeni yerli altyapı yatırımlarının yapılmaması. Arkas kendi vincini kullanıyor mesela, yeterince vinç vs yatırımı yok. ;körfez,bekleme,sorun,yerli,altyapı,yatırım,yapılma,vinç,vinç,yatırım,yok,;0
F-AJANS;Liman şehirleri her ülkede diğerlerinden farklıdır, İzmir’in farkları da buradan geliyor. İzmir Limanı alüvyon nedeni ile yeni nesil büyük gemilere uygun değil, bunun giderilmesi gerekiyor. Aliağa’daki limanlar da önemli rakipten ziyade tamamlayıcı durumdalar. Tek liman olmak gerekmiyor. ;liman,şehir,ülke,fark,fark,liman,alüvyon,nesil,gemi,giderilme,durum,tek,liman,;0